sb224;null;sb222;[sb223,1079.0,73.0,22.0,19.0]
sb225;null;sb223;[sb224,1101.0,75.0,45.0,21.0]
sb226;null;sb224;[sb225,1146.0,75.0,47.0,38.0]
null;null;sb225;[sb226,1193.0,70.0,39.0,16.0]
sb228;sb248;sb207;[sb227,1232.0,70.0,13.0,32.0]
sb229;null;sb227;[sb228,1245.0,70.0,21.0,20.0]
sb230;null;sb228;[sb229,1266.0,70.0,24.0,48.0]
sb231;null;sb229;[sb230,1290.0,72.0,30.0,33.0]
sb232;null;sb230;[sb231,1320.0,72.0,16.0,30.0]
sb233;null;sb231;[sb232,1336.0,72.0,42.0,23.0]
sb234;null;sb232;[sb233,1378.0,55.0,16.0,13.0]
sb235;null;sb233;[sb234,1394.0,76.0,18.0,33.0]
sb236;null;sb234;[sb235,1427.0,76.0,22.0,46.0]
sb237;null;sb235;[sb236,1449.0,76.0,27.0,39.0]
sb238;null;sb236;[sb237,1476.0,76.0,21.0,40.0]
sb239;null;sb237;[sb238,1497.0,61.0,27.0,39.0]
sb240;null;sb238;[sb239,1524.0,71.0,40.0,22.0]
sb241;null;sb239;[sb240,1564.0,71.0,23.0,19.0]
sb242;null;sb240;[sb241,1587.0,59.0,13.0,24.0]
sb243;null;sb241;[sb242,1600.0,76.0,22.0,40.0]
sb244;null;sb242;[sb243,1622.0,81.0,37.0,34.0]
sb245;null;sb243;[sb244,1659.0,90.0,37.0,13.0]
sb246;null;sb244;[sb245,1696.0,90.0,36.0,24.0]
sb247;null;sb245;[sb246,1732.0,60.0,23.0,44.0]
null;null;sb246;[sb247,1755.0,69.0,36.0,39.0]
sb249;sb265;sb227;[sb248,1791.0,75.0,43.0,31.0]
sb250;null;sb248;[sb249,1834.0,75.0,35.0,27.0]
sb251;null;sb249;[sb250,1869.0,75.0,31.0,34.0]
sb252;null;sb250;[sb251,1900.0,62.0,43.0,34.0]
sb253;null;sb251;[sb252,1943.0,62.0,19.0,28.0]
sb255;null;sb252;[sb253,1962.0,58.0,15.0,13.0]
sb256;null;sb253;[sb255,2001.0,77.0,47.0,39.0]
sb257;null;sb255;[sb256,2048.0,92.0,21.0,13.0]
sb258;null;sb256;[sb257,2069.0,92.0,17.0,33.0]
sb95;null;sb257;[sb258,2086.0,92.0,44.0,34.0]
sb259;null;sb258;[sb95,0.0,16.0,44.0,37.0]
sb260;null;sb95;[sb259,2130.0,63.0,26.0,12.0]
